IdLineaNegocio;IdEmpresaActividad;Descripcion;BloquearApertura;Activo
0DEA;0FOM;FOTOMECANICA;N;1
0DEA;0GMA;GERENTE DE MARCA INTERNACIONAL;N;1
0DEA;0PAS;PASTERO;N;1
0DEA;"SD  ";Sin Data;N;0
0FOM;0FOM;FOTOMECANICA;N;1
0FOM;0GMA;GERENTE DE MARCA INTERNACIONAL;N;1
0FOM;0PAS;PASTERO;N;1
0GMA;0FOM;FOTOMECANICA;N;1
0GMA;0GMA;GERENTE DE MARCA INTERNACIONAL;N;1
0GMA;0PAS;PASTERO;N;1
0PAS;0FOM;FOTOMECANICA;N;1
0PAS;0GMA;GERENTE DE MARCA INTERNACIONAL;N;1
0PAS;0PAS;PASTERO;N;1
"501 ";"SD  ";Sin Data;N;0
"502 ";"SD  ";Sin Data;N;0
"503 ";"SD  ";Sin Data;N;0
"504 ";"SD  ";Sin Data;N;0
9999;"SD  ";Sin Data;N;0
AG00;AG01;Arroz;N;1
AG00;AG02;Maiz;N;1
AG00;AG03;Sorgo;N;1
AG00;AG04;Soya;N;1
AG00;AG05;POROTO;N;1
AG00;AG06;FRIJOL;N;1
AG00;AG10;Hortalizas Mixtas;N;1
AG00;AG11;Tomate;N;1
AG00;AG12;Pimenton;N;1
AG00;AG13;Repollo;N;1
AG00;AG14;Lechuga;N;1
AG00;AG15;Culantro;N;1
AG00;AG16;Apio;N;1
AG00;AG17;Berenjena;N;1
AG00;AG18;Brocoli;N;1
AG00;AG19;Perejil;N;1
AG00;AG20;Coliflor;N;1
AG00;AG21;CEBOLLINA;N;1
AG00;AG22;CRIA DE GANADO CAPRINO;N;0
AG00;AG23;EQUIPOS DE ORDE#O;N;0
AG00;AG24;CRIA DE GANADO CABALLAR;N;0
AG00;AG25;CRIA DE CERDOS;N;0
AG00;AG26;CRIA DE AVES DE CORRAL;N;0
AG00;AG28;CRIA DE OTROS ANIMALES;N;0
AG00;AG30;ÑAME;N;1
AG00;AG31;Papa;N;1
AG00;AG32;Otoe;N;1
AG00;AG33;ÑAMPI;N;1
AG00;AG34;CAMOTE;N;1
AG00;AG40;Cebolla;N;1
AG00;AG41;Puerro;N;1
AG00;AG42;Ajo;N;1
AG00;AG50;Yuca;N;1
AG00;AG51;Zanahoria;N;1
AG00;AG52;Nabo;N;1
AG00;AG53;Remolacha;N;1
AG00;AG54;Rabano;N;1
AG00;AG55;CULTIVO DE REMOLACHA AZUCARERA;N;1
AG00;AG60;Cucurbitaceas Mixtas;N;1
AG00;AG61;Sandia;N;1
AG00;AG62;Melon;N;1
AG00;AG63;Pepino;N;1
AG00;AG64;Zapallo;N;1
AG00;AG65;SOYA;N;0
AG00;AG66;FRIJOL;N;0
AG00;AG67;OTRAS LEGUMINOSAS;N;0
AG00;AG68;OTROS CULTIVOS;N;0
AG00;AG69;CANA;N;0
AG00;AG70;PIÑA;N;1
AG00;AG71;Cafe;N;1
AG00;AG72;CAÑA;N;1
AG00;AG73;Papaya;N;1
AG00;AG74;Banano;N;1
AG00;AG75;Platano;N;1
AG00;AG76;Cacao;N;1
AG00;AG77;Otras Frutas;N;1
AG00;AG80;Citricos Mixtos;N;1
AG00;AG81;Naranja;N;1
AG00;AG82;Limon;N;1
AG00;AG83;Maracuya;N;1
AG00;AG84;FRESA;N;1
AG00;AG85;CUCURBITACEAS;N;0
AG00;AG86;PINA;N;0
AG00;AG87;ACUICULTURA;N;0
AG00;AG89;PLATANO;N;0
AG00;AG90;CULANTRO;N;0
AG00;AG91;ACHIOTE;N;1
AG00;AG92;COMPRA DE FINCA AGROPECUARIA;N;0
AG00;AG93;MAQUINARIA Y EQUIPO;N;0
AG00;AG94;PALMA ACEITERA;N;1
AG00;AG95;CULTIVO DE PLANTAS;N;1
AG00;AG96;CULTIVO DE FLORES;N;1
AG00;AG97;CULTIVO Y PRODUCCION DE PACAS;N;1
AG00;AGP1;Equipo Agricola;N;1
AG00;AGP2;Equipo Pecuario;N;1
AG00;AGP3;MEJORAS A LA FINCA - PECUARIO;N;1
AG00;AGP4;COMPRA DE FINCAS DE PECUARIO;N;1
AG00;AGP5;Siembra de Pasto Mejorado;N;1
AG00;AGP6;Compra de Carro de Trabajo;N;1
AG00;AGP7;MEJORAS A LA FINCA - AGRICOLA;N;1
AG00;AGP8;COMPRA DE FINCAS DE USO AGRICOLA;N;1
AG00;AGR1;Siembra de Arboles Maderables;N;1
AG00;AGR2;Estraccion de Madera;N;1
AG00;AI01;DERIVADOS GRANOS;N;1
AG00;AI02;DERIVADOS LACTEOS;N;1
AG00;AI03;DERIVADOS CARNICOS;N;1
AG00;AI04;DERIVADOS FRUTAS;N;1
AG00;AI05;DERIVADOS HORTALIZAS, VERDURAS Y LE;N;1
AG00;AI06;OTROS DERIVADOS;N;1
AG00;AP09;BOVINOS DE CRIA TRADICIONAL;N;0
AG00;AP10;BOVINOS DE CRIA ALTA GENETICA;N;0
AG00;AP11;BOVINO DE LECHE ALTA GENETICA;N;0
AG00;AP12;BOVINOS DE LECHE;N;0
AG00;AP13;BOVINOS DE CEBA;N;0
AG00;AP14;Extensiva 12-18 meses;N;1
AG00;AP15;Semi-Estabulada 9 meses;N;1
AG00;AP16;Estabulada 6 meses;N;1
AG00;AP20;PORCINOS DE CRIA;N;0
AG00;AP21;PORCINOS DE CEBA;N;0
AG00;AP22;PORCINOS DE CRIA ALTA GENETICA;N;0
AG00;AP23;PORCINOS NUCLEO GENETICO;N;0
AG00;AP24;OVINOS DE CRIA;N;0
AG00;AP25;OVINOS DE CRIA ALTA GENETICA;N;0
AG00;AP30;CAPRINOS DE CRIA;N;0
AG00;AP31;CAPRINOS DE LECHE;N;0
AG00;AP32;OVINOS DE CEBA;N;0
AG00;AP35;CAPRINOS DE CEBA;N;0
AG00;AP36;CAPRINOS DE CRIA ALTA GENETICA;N;0
AG00;AP37;CAPRINOS DE LECHE ALTA GENETICA;N;0
AG00;AP40;CRIA Y ENGORDE DE POLLOS;N;0
AG00;AP41;CRIA DE GALLINAS PONEDORAS;N;0
