IdProfesion;Descripcion;Activo
0001;ABOGADO;0
0002;ADMINISTRADOR;0
0003;AGRÓNOMO;0
0004;ANTROPÓLOGO;0
0005;ARQUEÓLOGO;0
0006;ARQUITECTO;0
0007;ASTROFÍSICO;0
0008;ASTRÓLOGO;0
0009;ASTRÓNOMO;0
0010;AVICULTOR;0
0011;BIOFÍSICO;0
0012;BIÓLOGO;0
0013;CONTADOR;0
0014;BIOQUÍMICO;0
0015;BOTÁNICO;0
0016;CITÓLOGO;0
0017;DEMÓGRAFO;0
0018;DISEÑADOR;0
0019;DOCTOR;0
0020;ECÓLOGO;0
0021;ECONOMISTA;0
0022;EDUCADOR;0
0023;ENFERMERO;0
0024;ELECTRICISTA;0
0025;ESTADISTA;0
0026;FARMACÉUTICO;0
0027;FÍSICO;0
0028;FISIÓLOGO;0
0029;FISIOTERAPEUTA;0
0030;FONETISTA;0
0031;FONÓLOGO;0
0032;FINANCISTA;0
0033;GEOFÍSICO;0
0034;GEÓGRAFO;0
0035;GEÓLOGO;0
0036;INGENIERO;0
0037;MÉDICO;0
0038;METEORÓLOGO;0
0039;NUTRICIONISTA;0
0040;ODONTÓLOGO;0
0041;PERIODISTA;0
0042;PSICÓLOGO;0
0043;PSIQUIATRA;0
0044;QUÍMICO;0
0045;RADIÓLOGO;0
0046;SISMÓLOGO;0
0047;SOCIÓLOGO;0
0048;TÉCNICO;0
0049;TEÓLOGO;0
0050;TERAPEUTA;0
0051;ZOOLÓGICO;0
0DEA;DEALER;0
0FOM;FOTOMECANICA;0
0GMA;GERENTE DE MARCA INTERNACIONAL;0
0INT;INSTRUCTOR;1
0PAS;PASTERO;0
"501 ";EMPRESA PRIVADA;1
"502 ";GOBIERNO;1
"503 ";CAT FACTORING;1
"504 ";IGLESIA;1
9999;INDETERMINADA;0
AG00;AG,GAN,PES,EXP.MINAS,/JURIDI.Y MYPE;0
ATCL;ATENCION AL CLIENTE;1
B000;SUBSIDIARIAS;0
C000;COMERCIO/ P. JURIDICA Y MYPE;0
COOP;COOPERATIVA/ P. JURIDICA Y MYPE;0
D000;FUNDACION;0
EPP1;EDUCADOR PPX1;1
EPP2;EDUCADOR PPX2;1
ESCA;ESCAPARATISTA REGIONAL;1
F000;FINANZAS;0
H000;CONSTRUCCION;0
I000;INDUSTRIAS/ P. JURIDICA Y MYPE;0
JFEN;JEFE ENCARGADO;1
JPRO;JEFE DE PROYECTOS;1
OAAA;ASISTENTE ADMINISTRATIVO;1
OAAB;ASISTENTE BANCARIO;1
OAAC;ASESOR COMERCIAL;1
OAAD;ANALISTA ADMINISTRATIVO;1
OAAT;ASESOR ADMINISTRATIVO;1
OABB;ANALISTA BANCARIO;1
OABC;ASESOR BANCARIO;1
OABO;ABOGADO;1
OACA;AGENTE DE CARGA;1
OACC;ANALISTA DE COMPRA;1
OACL;ANALISTA CLINICO;1
OACO;ASESOR CONTABLE;1
OACP;CAPITAN DE POLICIA;1
OACT;ACTOR;1
OACU;ANALISTA DE CUMPLIMIENTO;1
OADA;ADMINISTRADOR DE ALMACEN;1
OADB;ADMINSTRADOR DE SALA DE BELLEZA;1
OADE;ANFITRION DE EVENTOS;1
OADF;ADMINISTRADOR DE FERRETERIA;1
OADM;ADMINISTRADOR DE EMPRESAS;1
OADP;ADMINISTRADOR DE SUPERMERCADO;1
OADR;ADMINISTRADOR;0
OADS;ADMINISTRADOR DE SISTEMAS;1
OAEC;ADMINISTRADOR DE EMPRESAS CONSTRUCC;1
OAER;AEROMOZA;1
OAES;APPLICATION ENGINEERING SPECIALIST;1
OAFB;ANFITRION DE BANQUETES;1
OAFF;ADMINISTRADOR DE FARMACIA;1
OAGE;AGENTE DE INFORMACION;1
OAGR;AGRICULTOR;1
OAGS;AGENTE SERVICIO PASAJERO II;1
OAHH;ADMINISTRADOR DE HOTEL;1
OAIM;AGENTE DE IMPORTACIONES;1
OAIV;ANALISTA DE INVENTARIO;1
OAJU;AJUSTADOR;1
OALB;ALBA#IL;1
OALC;ALCALDE;1
OALD;ANALISTA DE DATOS;1
OALF;ANALISTA FINANCIERO;1
OALI;ANALISTA DE IMPUESTOS;1
OALM;ALMACENISTA;1
OALO;ANALISTA DE OPERACIONES;1
OALP;ANALISTA DE PROYECTO;1
OALR;ANALISTA DE REDES;1
OALS;ANALISTA;1
OALT;ANALISTA DE TECNOLOGIA;1
OAMA;AMA DE CASA;1
OANF;ANFITRIONA;1
OAPA;APAREJADOR;1
OAPH;ADMINISTRADOR DE PROPIEDAD HORIZONT;1
OAPI;APICULTOR;1
OAPT;AGENTE DE OPERACIONES TERRESTRE;1
OAQE;ARQUEOLOGO;1
OARC;ARCHIVOLOGO;1
OARH;ASISTENTE DE RECURSOS HUMANOS;1
OARQ;ARQUITECTO;1
OARR;ADMINISTRADOR DE RESTAURANTE;1
OART;ARTESANO;1
OASA;ASOCIADA DE ADQUISICIONES;1
OASC;AGENTE DE SERVICIO AL CLIENTE;1
OASD;ASESOR EDUCATIVO;1
OASE;ASESOR;1
OASF;ASESOR FINANCIERO;1
OASI;ASISTENTE LEGAL;1
OASL;ASESOR LEGAL;1
OASS;ASISTENTE;0
OAUD;AUDITOR;1
OAUX;AUXILIAR;1
OAVB;AGENTE DE VTAS. DE BIENES Y RAICES;1
OAVI;AVICULTOR;1
OAXA;AUXILIAR ADMINISTRATIVO;1
OAXM;AUXILIAR MEDICO;1
OAXV;AUXILIAR DE VUELO;1
OAYU;AYUDANTE GENERAL;1
OBAN;BANQUERO;1
OBAO;BARBERO;1
OBAR;BARISTA;1
OBIB;BIBLIOTECARIA;1
OBIL;BILLETERO;1
OBIO;BIOLOGO;1
OBME;BIOMEDICO;1
OBOM;BOMBERO;1
OBON;BOTONES;1
OBOT;BOTERO;1
OBRE;OBRERO;1
OCAA;CAPITAN DE AVIACION;1
OCAB;COMERCIANTE DE ARTICULOS DE BELLEZA;1
OCAC;CAPACITADOR;1
OCAD;CORREDOR DE ADUANA;1
OCAE;COMERCIANTE ARTICULOS ELECTRONICOS;1
OCAI;COMERCIANTE ALQUILER DE BIEN INMUEB;1
OCAJ;CAJERO;1
OCAL;CONTROL DE CALIDAD;1
OCAM;CAMAROGRAFO;1
OCAO;CAPATAZ DE OPERACIONES;1
OCAP;CAPITAN;1
OCAR;CARNICERO;1
OCAS;COMERCIANTE DE AUTOS;1
OCAT;CARPINTERO;1
OCAU;COMERCIANTE DE ARTICULOS DE AUTOS;1
OCAZ;CAPATAZ (REMOLCADOR);1
OCBR;CORREDOR DE BIENES RAICES;1
OCBU;CONDUCTOR DE BUS;1
OCCA;COMERCIANTE ARTICULO DE COCINA;1
OCCC;COORDINADOR DE ASEO;1
OCCL;COORDINADOR CLINICO;1
OCCO;COORDINADOR DE COBROS;1
OCCP;COORDINADOR DE OPERACIONES;1
OCCR;COTIZADOR DE CREDITO;1
OCCS;CONTRATISTA DE CONSTRUCCION;1
OCCT;COORDINADOR TECNICO;1
OCCV;COPILOTO DE AVIACION;1
OCDA;COMERCIANTE DE ALIMENTOS;1
OCDB;CORREDOR DE BOLSA;1
OCDC;CONSULTOR DE TECNOLOGIA;1
OCDH;COORDINADOR DE INFORMACION DE RECUR;1
OCDM;CONSULTOR DE MARKETING;1
OCDR;COORDINADOR DE TALLER;1
OCDS;COORDINADOR DE SEGUROS;1
OCDT;CONDUCTOR;1
OCDV;CONSULTOR DE VENTAS;1
OCED;CONSULTOR EDUCATIVO Y CAPACITACION;1
OCEQ;CONDUCTOR DE EQUIPO PESADO;1
OCER;CERRAJERO;1
OCFI;CONSULTOR FINANCIERO;1
OCGE;CONSULTOR DE GESTION EMPRESARIAL;1
OCGR;COORDINADOR GRAFICO;1
OCHA;CHAPISTERO;1
OCHE;CHEF;1
OCHO;CHOFER;1
OCIE;CIENTIFICO;1
OCLE;CONSULTOR LEGAL;1
OCLG;COORDINADOR DE LOGISTICA;1
OCMC;COMERCIANTE MATERIALES DE CONSTRUCC;1
OCME;CONSULTOR MEDICO;1
OCMI;COMISIONISTA;1
OCMM;CAPITAN MARITIMO;1
OCMQ;COMERCIANTE DE MAQUINARIAS;1
OCMR;COMERCIANTE;1
OCMS;COMERCIANTE DE MERCANCIA SECA;1
OCMT;COSMETOLOGA;1
OCOA;COORDINADOR AMBIENTAL;1
OCOB;COBRADOR;1
OCOC;COCINERO;1
OCOD;COORDINADOR ADMINISTRATIVO;1
OCOL;OPERADOR DE COLECTORA;1
OCOM;COMUNICADOR SOCIAL;1
OCON;CONTADOR;1
OCOO;COORDINADOR;1
OCOP;COPILOTO;1
OCOR;CORREGIDOR;1
OCOS;CONSERJE;1
OCOT;CONTROLADOR;1
OCOV;CONTROLADOR DE VUELO;1
OCPA;COMERCIANTE PRODUCTOS AGRICOLAS;1
OCPC;COORDINADOR DE PLANEACION;1
OCPD;COMPRADOR;1
OCPG;COORDINADOR DE PLANES Y PROGRAMAS;1
OCPL;COTIZADOR DE POLIZAS;1
OCPO;COMISIONADO DE LA POLICIA;1
OCPP;COORDINADOR DE POLITICAS Y PROCEDI;1
OCPR;COORDINADOR PRESUPUESTARIO;1
OCPS;COMERCIANTE DE PERFUMES;1
OCPT;CAPTADOR;1
OCPZ;CAPATAZ;1
OCQA;COORDINADOR DE CALIDAD;1
OCRO;COMERCIANTE DE ROPA;1
OCRP;COORDINADOR DE PROYECTOS;1
OCRS;CORREDOR DE SEGURO;1
OCRT;CONTRALOR;1
OCSH;COMERCIANTE DE SOFTWARE/HARDWARE;1
OCSL;COMERCIANTE DE SERVICIOS LOGISTICOS;1
OCSP;COMERCIANTE SERVICIOS PUBLICITARIOS;1
OCSS;COORD. DE SERVICIO DE SUCURSALES;1
OCST;CONSULTOR;1
OCTA;CONDUCTOR DE TAXI;1
OCTB;CONSULTOR TRIBUTARIO;1
OCTR;CONTRATISTA;1
OCTX;COMERCIANTE DE TEXTILES;1
OCTZ;COTIZADOR;1
OCUS;CUSTODIO;1
OCVE;COORDINADOR DE VENTAS;1
OCVT;CONTROLADOR DE VECTORES;1
OCVV;COORDINADOR DE EVENTO;1
ODCA;DIRECTOR DE CAMARAS;1
ODEA;DEALER;0
ODEC;DECORADOR;1
ODEE;DIRECTOR EDUCATIVO;1
ODEM;DEMOSTRADORA;1
ODEP;DEPORTISTA;1
ODER;DIRECTOR EMPRESARIAL;1
ODES;DESPACHADOR;1
ODET;DETECTIVE;1
ODEV;DESPACHADOR DE VUELO;1
ODGR;DISENADOR GRAFICO;1
ODIG;DIGITADOR;1
ODIP;DIPLOMATICO;1
ODIR;DIRECTOR;1
ODIS;DISENADOR;1
ODON;ODONTOLOGO;1
ODPD;DEPENDIENTE;1
ODPU;DEFENSOR PUBLICO;1
ODRE;DIRECTOR DE REVISTA;1
ODRG;DIRECTOR REGIONAL;1
ODSF;DESARROLLADOR DE SOFTWARE;1
ODTC;DIRECTOR TECNICO;1
OEBA;EBANISTA;1
OECA;ESPECIALISTA DE CAPACITACION;1
OECO;ECONOMISTA;1
OECY;ESPECIALISTA DE CIBERSEGURIDAD;1
OEDI;EDITOR;1
OEDU;EDUCADOR;1
OEFO;ESTENOGRAFO II;1
OEJE;EJECUTIVO;1
OEJP;EJECUTIVO DE PRESTAMO;1
OEJV;EJECUTIVO DE VENTA;1
OELE;ELECTRICISTA;1
OELM;ELECTROMECANICO;1
OEMB;EMBOTELLADOR;1
OEMP;EMPLEADA DOMESTICA;1
OEMS;EMPRESARIO;1
OENC;ENSAMBLADOR DE COMPUTADORA;1
OENF;ENFERMERA;1
OENM;ENMARCADOR;1
OENS;ENSAMBLADOR;1
OENT;ENTREVISTADOR;1
OEPL;ESPECIALISTA DE PLANILLA;1
OES1;ESTADÍSTICO I;1
OES2;ESTADÍSTICO II;1
OES3;ESTADÍSTICO III;1
OESB;ESTIBADOR;1
OESC;ESCRITOR;1
OESE;ESPECIALISTA EN SEGURIDAD;1
OESF;ESTRIBERO FILZMOSER;1
OESO;EMPLEADO - SOCIO;1
OESP;ESPECIALISTA;1
OEST;ESTUDIANTE;1
OESV;ESPECIALISTA DE SERVICIO;1
OETF;ENTRENADOR FISICO;1
OETR;ENTRENADOR;1
OEVA;EVALUADOR;1
OEXP;EXPLOSIVISTA;1
OFAC;FACTURADORA;1
OFAR;FARMACEUTICO;1
OFCL;FISCAL;1
OFDB;OFICIAL DE BOMBEROS;1
OFFM;OFICIAL DE FUERZAS MILITARES;1
OFIC;FISCALIZADOR;1
OFIN;OFICINISTA;1
OFIS;FISICO;1
OFIT;FISIOTERAPEUTA;1
OFLO;FLORICULTOR;1
OFMR;OFICIAL MARITIMO;1
OFMY;OFICIAL MAYOR;1
OFOM;FOTOMECANICA;1
OFON;FONOAUDIOLOGO;1
OFOP;OFICIAL OPERATIVO;1
OFPO;OFICIAL DE LA POLICIA;1
OFPR;OFICIAL DE PRESTAMO;1
OGAD;GERENTE ADMINISTARTIVO;1
OGAN;GANADERO;1
OGCO;GESTOR DE COBROS;1
OGEL;GEOLOGO;1
OGEO;GERENTE DE OPERACIONES;1
OGER;GERENTE GENERAL;1
OGES;GERENTE DE SUCURSAL;1
OGEV;GERENTE DE VENTAS;1
OGIN;GERENTE DE INGRESOS;1
OGMA;GERENTE DE MARCA INTERNACIONAL;1
