COD DEP.;DEPARTAMENTO;COD MUN.;MUNICIPIO;"GRUPO 
DE CULTIVO";CULTIVO;ANIO;"Rendimiento
(t/ha)";ESTADO FISICO PRODUCCION;"NOMBRE 
CIENTIFICO"
5;ANTIOQUIA;5148;CARMEN DE VIBORAL;FRUTALES;AGRAZ;2018;4;FRUTO FRESCO;VACCINIUM MERIDIONALE
5;ANTIOQUIA;5686;SANTA ROSA DE OSOS;FRUTALES;AGRAZ;2018;1.5;FRUTO FRESCO;VACCINIUM MERIDIONALE
15;BOYACA;15600;RAQUIRA;FRUTALES;AGRAZ;2018;2;FRUTO FRESCO;VACCINIUM MERIDIONALE
15;BOYACA;15676;SAN MIGUEL DE SEMA;FRUTALES;AGRAZ;2018;1;FRUTO FRESCO;VACCINIUM MERIDIONALE
15;BOYACA;15774;SUSACON;FRUTALES;AGRAZ;2018;1.5;FRUTO FRESCO;VACCINIUM MERIDIONALE
25;CUNDINAMARCA;25649;SAN BERNARDO;FRUTALES;AGRAZ;2018;4;FRUTO FRESCO;VACCINIUM MERIDIONALE
5;ANTIOQUIA;5847;URRAO;FRUTALES;AGUACATE;2018;33;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5756;SONSON;FRUTALES;AGUACATE;2018;15;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5679;SANTA BARBARA;FRUTALES;AGUACATE;2018;6;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5541;PENOL;FRUTALES;AGUACATE;2018;12;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5607;RETIRO;FRUTALES;AGUACATE;2018;20;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5674;SAN VICENTE;FRUTALES;AGUACATE;2018;12;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5002;ABEJORRAL;FRUTALES;AGUACATE;2018;19;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5376;LA CEJA;FRUTALES;AGUACATE;2018;8.18;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5318;GUARNE;FRUTALES;AGUACATE;2018;9;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5440;MARINILLA;FRUTALES;AGUACATE;2018;7.5;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5368;JERICO;FRUTALES;AGUACATE;2018;11;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5837;TURBO;FRUTALES;AGUACATE;2018;10;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5697;SANTUARIO;FRUTALES;AGUACATE;2018;6;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5615;RIONEGRO;FRUTALES;AGUACATE;2018;10;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5411;LIBORINA;FRUTALES;AGUACATE;2018;3.1;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5313;GRANADA;FRUTALES;AGUACATE;2018;8.5;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5642;SALGAR;FRUTALES;AGUACATE;2018;13;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5148;CARMEN DE VIBORAL;FRUTALES;AGUACATE;2018;15.55;FRUTO FRESCO;PERSEA AMERICANA MILL.
5;ANTIOQUIA;5030;AMAGA;FRUTALES;AGUACATE;2018;11;FRUTO FRESCO;PERSEA AMERICANA MILL.
