Cultivo ;Media
Agraz;2.333333
BANANO;12.054902
CHONTADURO;4.772
FEIJOA;6.72
GULUPA;14.218286
MANGO;11.250806
NISPERO;5.8
PITAHAYA;8.891667
UVA CAIMARONA;1.7
AGUACATE;8.396548
BOROJO;4.226471
CIRUELA;10.453529
FRAMBUESA;12
HIGO;12.916667
MANGOSTINO;6.3
NONI;10
POMELO;17.5
ZAPOTE;8.085455
ANON;2.375
BREVO;6.74
CITRICOS;13.385596
FRESA ;24.720851
 LIMA;12.186591
 MANZANA;10.538462
PAPAYA;24.586933
TAMARINDO;5
ARANDANO;9.5
CADUCIFOLIOS;4
COCO;7.204545
FRUTALES VARIOS;7.394
LIMON;8.444643
MARACUYA;14.188629
PAPAYUELA;10.125
TANGELO;15.706364
ARAZA;5.97
CAIMO;1
COPOAZU;5.7
GRANADILLA;10.332113
LULO;9.828736
 MARANON;6.362222
PATILLA;14.154492
TOMATE DE ARBOL;11.633202
ASAI;4
 CHAMBA;4
 CURUBA;8.713636
GUAMA;6
 MACADAMIA;3.5
 MELON;15.822706
PEPA DE PAN;3.928571
UCHUVA;10.38875
BADEA;12.89
 CHIRIMOYA ;6.111111
DATIL;8.5
GUANABANA;9.75305
MAMONCILLO;12.933333
 MORA;7.989964
PERA;12.166667
UMARI;6
BANANITO;6.782571
CHOLUPA;7.48
DURAZNO;11.071585
 GUAYABA;9.691709
MANDARINA;13.91172
 NARANJA;11.509548
 PINIA;31.050321
 UVA;9.884615
