COD DEP.;DEPARTAMENTO;COD MUN.;MUNICIPIO;"GRUPO 
DE CULTIVO";CULTIVO;ANIO;"Rendimiento
(t/ha)";ESTADO FISICO PRODUCCION;"NOMBRE 
CIENTIFICO"
5;ANTIOQUIA;5440;MARINILLA;HORTALIZAS;ACELGA;2018;27.68;FRUTO FRESCO;BETA VULGARIS
15;BOYACA;15879;VIRACACHA;HORTALIZAS;ACELGA;2018;4;FRUTO FRESCO;BETA VULGARIS
15;BOYACA;15759;SOGAMOSO;HORTALIZAS;ACELGA;2018;6;FRUTO FRESCO;BETA VULGARIS
18;CAQUETA;18205;CURILLO;HORTALIZAS;ACELGA;2018;3;FRUTO FRESCO;BETA VULGARIS
19;CAUCA;19807;TIMBIO;HORTALIZAS;ACELGA;2018;4.3;FRUTO FRESCO;BETA VULGARIS
19;CAUCA;19364;JAMBALO;HORTALIZAS;ACELGA;2018;0.7;FRUTO FRESCO;BETA VULGARIS
25;CUNDINAMARCA;25214;COTA;HORTALIZAS;ACELGA;2018;20;FRUTO FRESCO;BETA VULGARIS
25;CUNDINAMARCA;25754;SOACHA;HORTALIZAS;ACELGA;2018;11;FRUTO FRESCO;BETA VULGARIS
25;CUNDINAMARCA;25175;CHIA;HORTALIZAS;ACELGA;2018;25;FRUTO FRESCO;BETA VULGARIS
25;CUNDINAMARCA;25126;CAJICA;HORTALIZAS;ACELGA;2018;18;FRUTO FRESCO;BETA VULGARIS
25;CUNDINAMARCA;25799;TENJO;HORTALIZAS;ACELGA;2018;18;FRUTO FRESCO;BETA VULGARIS
52;NARINA;52838;TUQUERRES;HORTALIZAS;ACELGA;2018;1.5;FRUTO FRESCO;BETA VULGARIS
54;NORTE DE SANTANDER;54405;LOS PATIOS;HORTALIZAS;ACELGA;2018;16;FRUTO FRESCO;BETA VULGARIS
76;VALLE DEL CAUCA;76001;CALI;HORTALIZAS;ACELGA;2018;4;FRUTO FRESCO;BETA VULGARIS
76;VALLE DEL CAUCA;76890;YOTOCO;HORTALIZAS;ACELGA;2018;0.5;FRUTO FRESCO;BETA VULGARIS
5;ANTIOQUIA;5234;DABEIBA;HORTALIZAS;AHUYAMA;2018;12;HORTALIZA FRESCA;CUCURBITA MOSHATA
5;ANTIOQUIA;5842;URAMITA;HORTALIZAS;AHUYAMA;2018;12;HORTALIZA FRESCA;CUCURBITA MOSHATA
8;ATLANTICO;8606;REPELON;HORTALIZAS;AHUYAMA;2018;12;HORTALIZA FRESCA;CUCURBITA MOSHATA
8;ATLANTICO;8078;BARANOA;HORTALIZAS;AHUYAMA;2018;15.24;HORTALIZA FRESCA;CUCURBITA MOSHATA
8;ATLANTICO;8770;SUAN;HORTALIZAS;AHUYAMA;2018;6.2;HORTALIZA FRESCA;CUCURBITA MOSHATA
8;ATLANTICO;8141;CANDELARIA;HORTALIZAS;AHUYAMA;2018;14;HORTALIZA FRESCA;CUCURBITA MOSHATA
8;ATLANTICO;8137;CAMPO DE LA CRUZ;HORTALIZAS;AHUYAMA;2018;20.4;HORTALIZA FRESCA;CUCURBITA MOSHATA
8;ATLANTICO;8436;MANATI;HORTALIZAS;AHUYAMA;2018;8.06;HORTALIZA FRESCA;CUCURBITA MOSHATA
8;ATLANTICO;8638;SABANALARGA;HORTALIZAS;AHUYAMA;2018;5;HORTALIZA FRESCA;CUCURBITA MOSHATA
13;BOLIVAR;13430;MAGANGUE;HORTALIZAS;AHUYAMA;2018;15.4;HORTALIZA FRESCA;CUCURBITA MOSHATA
13;BOLIVAR;13549;PINILLOS;HORTALIZAS;AHUYAMA;2018;15;HORTALIZA FRESCA;CUCURBITA MOSHATA
13;BOLIVAR;13468;MOMPOS;HORTALIZAS;AHUYAMA;2018;2;HORTALIZA FRESCA;CUCURBITA MOSHATA
