Dimension,Subdimension,promedio_respuesta,año,Excel Origen
1. Dimensión de la Estrategía y Dirección,1.1 Definición del Gestión del Conocimiento en la organización,3.279365079,2023,General 2023
1. Dimensión de la Estrategía y Dirección,1.2 Plan estratégico,3.488690476,2023,General 2023
1. Dimensión de la Estrategía y Dirección,1.3 Responsable,3.261904762,2023,General 2023
1. Dimensión de la Estrategía y Dirección,1.4 Presupuesto,3.25,2023,General 2023
2. Dimensión Humana,2.1 Liderazgo,3.591179654,2023,General 2023
2. Dimensión Humana,2.2 Cultura,3.444261294,2023,General 2023
2. Dimensión Humana,2.3 Comunidades de conocimiento,3.109722222,2023,General 2023
2. Dimensión Humana,2.4 Redes de conocimiento,3.104761905,2023,General 2023
2. Dimensión Humana,2.5 Motivación e incentivos,3.258361678,2023,General 2023
3. Dimensión de los Procesos de Gestión del Conocimiento,3.1 Matriz de conocimiento estratégico,3.0375,2023,General 2023
3. Dimensión de los Procesos de Gestión del Conocimiento,3.2 Ciclos de conversión,3.218150897,2023,General 2023
3. Dimensión de los Procesos de Gestión del Conocimiento,3.3 Procesos de gestión del conocimiento,3.156626506,2023,General 2023
3. Dimensión de los Procesos de Gestión del Conocimiento,3.4 Roles,3.194779116,2023,General 2023
4. Dimensión de la Tecnología,4.1 Tipo de tecnología,3.291566265,2023,General 2023
4. Dimensión de la Tecnología,4.2 Uso de tecnología,3.358433735,2023,General 2023
5. Dimensión de Indicadores,5.1 Indicadores operativos,3.186746988,2023,General 2023
5. Dimensión de Indicadores,5.2 Indicadores de generación de valor,3.277108434,2023,General 2023
1. Dimensión de la Estrategía y Dirección,1.1 Definición del Gestión del Conocimiento en la organización,3.685610622,2025,Directivo 2025
1. Dimensión de la Estrategía y Dirección,1.2 Plan estratégico,3.805637255,2025,Directivo 2025
2. Dimensión Humana,2.1 Liderazgo,3.854166667,2025,Directivo 2025
2. Dimensión Humana,2.2 Cultura,3.78125,2025,Directivo 2025
2. Dimensión Humana,2.3 Comunidades de conocimiento,4.093705914,2025,Directivo 2025
2. Dimensión Humana,2.5 Motivación e incentivos,3.081325357,2025,Directivo 2025
3. Dimensión de los Procesos de Gestión del Conocimiento,3.1 Matriz de conocimiento estratégico,3.506621145,2025,Directivo 2025
3. Dimensión de los Procesos de Gestión del Conocimiento,3.2 Ciclos de conversión,3.676906988,2025,Directivo 2025
3. Dimensión de los Procesos de Gestión del Conocimiento,3.3 Procesos de gestión del conocimiento,3.786281988,2025,Directivo 2025
3. Dimensión de los Procesos de Gestión del Conocimiento,3.4 Roles,3.437235482,2025,Directivo 2025
4. Dimensión de la Tecnología,4.1 Tipo de tecnología,3.614406988,2025,Directivo 2025
4. Dimensión de la Tecnología,4.2 Uso de tecnología,3.375,2025,Directivo 2025
5. Dimensión de Indicadores,5.1 Indicadores operativos,3.166313976,2025,Directivo 2025
5. Dimensión de Indicadores,5.2 Indicadores de generación de valor,2.999470965,2025,Directivo 2025
1. Dimensión de la Estrategía y Dirección,1.1 Definición del Gestión del Conocimiento en la organización,3.633549168,2025,Miembro 2025
1. Dimensión de la Estrategía y Dirección,1.2 Plan estratégico,4.14893617,2025,Miembro 2025
2. Dimensión Humana,2.1 Liderazgo,4.02173913,2025,Miembro 2025
2. Dimensión Humana,2.2 Cultura,3.980797101,2025,Miembro 2025
2. Dimensión Humana,2.3 Comunidades de conocimiento,3.841680781,2025,Miembro 2025
2. Dimensión Humana,2.5 Motivación e incentivos,3.720893774,2025,Miembro 2025
3. Dimensión de los Procesos de Gestión del Conocimiento,3.1 Matriz de conocimiento estratégico,3.358844216,2025,Miembro 2025
3. Dimensión de los Procesos de Gestión del Conocimiento,3.2 Ciclos de conversión,3.729054534,2025,Miembro 2025
3. Dimensión de los Procesos de Gestión del Conocimiento,3.3 Procesos de gestión del conocimiento,3.800968164,2025,Miembro 2025
3. Dimensión de los Procesos de Gestión del Conocimiento,3.4 Roles,3.641562009,2025,Miembro 2025
4. Dimensión de la Tecnología,4.1 Tipo de tecnología,3.929433155,2025,Miembro 2025
4. Dimensión de la Tecnología,4.2 Uso de tecnología,3.523255814,2025,Miembro 2025
5. Dimensión de Indicadores,5.1 Indicadores operativos,3.602084626,2025,Miembro 2025
