date;plant-stand;precip;temp;hail;crop-hist;area-damaged;severity;seed-tmt;germination;plant-growth;leaves;leafspots-halo;leafspots-marg;leafspot-size;leaf-shread;leaf-malf;leaf-mild;stem;lodging;stem-cankers;canker-lesion;fruiting-bodies;external-decay;mycelium;int-discolor;sclerotia;fruit-pods;fruit-spots;seed;mold-growth;seed-discolor;seed-size;shriveling;roots;class
september;normal;gt-norm;gt-norm;yes;same-lst-sev-yrs;whole-field;pot-severe;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
may;normal;gt-norm;norm;yes;same-lst-two-yrs;scattered;pot-severe;none;80-89;norm;abnorm;absent;dna;dna;absent;present;absent;abnorm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;2-4-d-injury
september;normal;norm;norm;no;same-lst-yr;whole-field;minor;fungicide;90-100;abnorm;abnorm;no-yellow-halos;w-s-marg;dna;absent;absent;absent;abnorm;no;absent;tan;absent;absent;absent;brown;absent;norm;dna;norm;absent;absent;norm;absent;norm;brown-stem-rot
september;normal;gt-norm;gt-norm;yes;diff-lst-year;scattered;pot-severe;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
july;lt-normal;gt-norm;norm;no;same-lst-yr;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;no;above-soil;dk-brown-blk;absent;absent;absent;none;absent;diseased;distort;norm;absent;absent;norm;absent;galls-cysts;phytophthora-rot
august;normal;lt-norm;norm;yes;same-lst-two-yrs;scattered;pot-severe;fungicide;lt-80;norm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;dna;absent;absent;absent;brown;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-stem-rot
july;lt-normal;norm;norm;yes;same-lst-sev-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-soil;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
july;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;low-areas;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
july;normal;gt-norm;norm;yes;same-lst-yr;whole-field;pot-severe;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
october;normal;gt-norm;lt-norm;yes;same-lst-sev-yrs;whole-field;minor;fungicide;80-89;norm;abnorm;yellow-halos;dna;lt-1/8;absent;absent;absent;abnorm;yes;absent;tan;absent;absent;absent;none;absent;diseased;colored;abnorm;absent;present;norm;absent;norm;purple-seed-stain
