Dimension,Respuesta,año,Excel Origen
1. Dimensión de la Estrategía y Dirección,3.340216323,2023,General 2023
2. Dimensión Humana,3.363994744,2023,General 2023
3. Dimensión de los Procesos de Gestión del Conocimiento,3.168642951,2023,General 2023
4. Dimensión de la Tecnología,3.321715818,2023,General 2023
5. Dimensión de Indicadores,3.240384615,2023,General 2023
1. Dimensión de la Estrategía y Dirección,3.832666132,2025,Directiva 2025
2. Dimensión Humana,3.727532019,2025,Directiva 2025
3. Dimensión de los Procesos de Gestión del Conocimiento,3.693011811,2025,Directiva 2025
4. Dimensión de la Tecnología,3.620804385,2025,Directiva 2025
5. Dimensión de Indicadores,3.166251737,2025,Directiva 2025
1. Dimensión de la Estrategía y Dirección,3.821893299,2025,Miembro 2025
2. Dimensión Humana,3.879729448,2025,Miembro 2025
3. Dimensión de los Procesos de Gestión del Conocimiento,3.684991575,2025,Miembro 2025
4. Dimensión de la Tecnología,3.865284103,2025,Miembro 2025
5. Dimensión de Indicadores,3.63385543,2025,Miembro 2025
