tipo_dispositivo,codigo_dispositivo,latitud,longitud,id_barrio
POS,1024702,3.451134551,-76.53089324,737998832
POS,1076402,3.446585066,-76.51767196,738000381
POS,1077002,3.446585066,-76.51767196,738000381
POS,3342404,3.476909136,-76.48528607,737998905
POS,3378003,3.485575262,-76.51641831,737998174
POS,3445704,3.432184846,-76.50199671,738000399
POS,3464704,3.396438555,-76.50997719,737996909
POS,3511004,3.436057171,-76.52631744,737999435
POS,3655304,3.473361719,-76.52049836,737998812
POS,3680504,3.402723772,-76.51133857,737996914
POS,3803003,3.452645225,-76.51465639,737998761
POS,3831404,3.494200396,-76.48779029,737998848
POS,3906604,3.385156785,-76.53864618,738000366
POS,3920804,3.451853978,-76.52913033,737998832
POS,5013602,3.450511367,-76.54039205,737998685
POS,10004513,3.467341826,-76.52431219,737998251
POS,10004612,3.461619607,-76.52690179,737998204
POS,10005031,3.449754887,-76.53195846,737998832
POS,10295574,3.461990652,-76.5310789,737998194
POS,10295798,3.462112626,-76.53107322,737998194
POS,10296309,3.462168723,-76.5264886,737998251
POS,10300408,3.470768407,-76.52941344,737998194
POS,10301521,3.467718226,-76.52698066,737998251
POS,10301638,3.466494945,-76.52773523,737998251
POS,10302479,3.480542953,-76.51656176,737998219
POS,10304228,3.450074821,-76.53117007,737998832
POS,10304525,3.451482025,-76.52835325,737998935
POS,10304616,3.449039556,-76.53186893,737998832
POS,10305555,3.453315762,-76.53153771,737998832
POS,10306629,3.450474332,-76.53219671,737998832
POS,10307171,3.450659609,-76.53336111,737998832
POS,10307338,3.4485641,-76.53298371,737998195
POS,10310282,3.434247164,-76.54549199,737999403
POS,10311264,3.429822419,-76.53285643,738000413
POS,10311397,3.428574848,-76.53656907,737998120
POS,10311603,3.397983525,-76.54393726,737998847
POS,10312833,3.434131373,-76.53694688,737998087
POS,10312866,3.426158007,-76.53895297,737998082
POS,10312874,3.426443148,-76.53885097,737998082
POS,10313096,3.433166871,-76.53532885,737998087
POS,10313344,3.402230114,-76.54161759,738001440
POS,10313666,3.433024113,-76.52819318,738068452
POS,10313740,3.396690546,-76.5349138,737998941
POS,10313989,3.435921864,-76.52716548,738068452
POS,10314151,3.429474668,-76.53144425,738000413
POS,10315448,3.390626735,-76.54180292,737998851
POS,10315992,3.428391099,-76.53193854,738000413
POS,10316081,3.427196889,-76.53078766,738000413
