num_cliente,tipo_doc,tipo_dispositivo,codigo_dispositivo,num_trx,mnt_total_trx
6.86179E+18,1,POS,14812028,3,22218042
1.55297E+18,1,POS,14388938,3,21583407
-4.0759E+18,1,POS,12370698,1,6185349
3.53934E+18,1,POS,10313583,2,10313583
5.59555E+18,1,POS,14358071,4,28716142
-1.61199E+18,1,POS,12152989,1,6076494.5
-7.0203E+18,1,POS,11576899,1,5788449.5
-1.09591E+17,1,POS,11863172,1,5931586
-4.15411E+17,1,POS,11272457,1,5636228.5
-6.83572E+18,1,POS,10005445,1,5002722.5
-6.8021E+18,2,POS,11303609,1,5651804.5
1.08308E+18,1,POS,10604916,6,31814748
-7.63176E+18,1,POS,10313781,2,10313781
3.44339E+18,1,POS,14540827,34,247194059
-5.95219E+18,1,POS,12779393,1,6389696.5
-6.06851E+18,1,POS,13550629,1,6775314.5
-7.96542E+18,1,POS,13575071,3,20362606.5
-1.9871E+18,1,POS,11341260,1,5670630
-4.71975E+18,1,POS,11397643,4,22795286
-3.00955E+18,1,POS,11066180,1,5533090
-7.14509E+18,1,POS,13369590,1,6684795
5.30286E+18,1,POS,11096278,1,5548139
-3.09431E+18,1,POS,14185151,2,14185151
-4.07643E+17,1,POS,11531308,1,5765654
-4.97528E+18,1,POS,11540804,1,5770402
9.27577E+17,1,POS,13255047,1,6627523.5
-2.83741E+18,1,POS,13388707,1,6694353.5
-3.72555E+18,1,POS,15476302,1,7738151
-4.05571E+18,1,POS,11463007,2,11463007
8.16743E+18,1,POS,11601630,1,5800815
3.58128E+18,1,POS,10604916,18,95444244
5.55777E+18,1,POS,12078598,1,6039299
3.94905E+18,1,POS,13336466,1,6668233
7.7233E+18,1,POS,10305233,1,5152616.5
1.95327E+18,1,POS,13541800,1,6770900
-2.27532E+18,1,POS,14755508,1,7377754
1.85988E+18,1,POS,12302436,1,6151218
1.21597E+17,1,POS,12201554,1,6100777
-6.30635E+18,1,POS,12302386,1,6151193
-7.4182E+18,1,POS,13198510,2,13198510
3.14665E+18,1,POS,14312961,3,21469441.5
3.7587E+18,1,POS,11127065,4,22254130
7.2026E+18,1,POS,11096278,1,5548139
5.97276E+17,1,POS,10327682,1,5163841
-9.82129E+17,1,POS,13800750,1,6900375
-6.07063E+18,1,POS,13821145,1,6910572.5
-6.71804E+18,1,POS,15091770,1,7545885
3.94905E+18,1,POS,14214894,2,14214894
6.2865E+18,1,POS,13289657,3,19934485.5
7.14676E+18,1,POS,14524102,1,7262051
2.87346E+18,1,POS,11540085,6,34620255
2.69876E+18,1,POS,11463007,2,11463007
6.19944E+18,1,POS,11254026,2,11254026
3.37999E+18,1,POS,14304075,1,7152037.5
-8.02339E+18,1,POS,11843760,1,5921880
-3.08771E+18,1,POS,10602407,2,10602407
2.21514E+18,1,POS,14311997,8,57247988
-7.70942E+18,1,POS,10602407,1,5301203.5
-3.80383E+18,1,POS,10315497,1,5157748.5
-2.64862E+18,1,POS,11792751,1,5896375.5
4.10731E+18,1,POS,14015358,1,7007679
3.14882E+18,1,POS,11805868,1,5902934
-5.56597E+18,1,POS,11732088,4,23464176
